frame,class,lat,lng
1482,Manhole covers,7.98409553,98.29979137
1483,Manhole covers,7.98409553,98.29979137
1484,Manhole covers,7.98409553,98.29979137
1485,Manhole covers,7.98409553,98.29979137
1486,Manhole covers,7.98409553,98.29979137
1487,Manhole covers,7.98409553,98.29979137
1488,Manhole covers,7.98409553,98.29979137
1489,Manhole covers,7.98409553,98.29979137
1490,Manhole covers,7.98409553,98.29979137
1491,Manhole covers,7.98409553,98.29979137
1492,Manhole covers,7.98409553,98.29979137
1493,Manhole covers,7.98409553,98.29979137
1505,Manhole covers,7.98401651,98.29972868
1518,Manhole covers,7.98401651,98.29972868
1519,Manhole covers,7.98401651,98.29972868
1520,Manhole covers,7.98401651,98.29972868
1544,Manhole covers,7.98393332,98.2996666
1545,Manhole covers,7.98393332,98.2996666
1546,Manhole covers,7.98393332,98.2996666
1547,Manhole covers,7.98393332,98.2996666
1549,Manhole covers,7.98393332,98.2996666
1550,Manhole covers,7.98393332,98.2996666
1551,Manhole covers,7.98393332,98.2996666
1552,Manhole covers,7.98393332,98.2996666
1553,Manhole covers,7.98393332,98.2996666
1560,Manhole covers,7.98384279,98.29959929
1562,Manhole covers,7.98384279,98.29959929
1563,Manhole covers,7.98384279,98.29959929
1565,Manhole covers,7.98384279,98.29959929
1566,Manhole covers,7.98384279,98.29959929
1567,Manhole covers,7.98384279,98.29959929
1568,Manhole covers,7.98384279,98.29959929
1569,Manhole covers,7.98384279,98.29959929
1571,Manhole covers,7.98384279,98.29959929
1572,Manhole covers,7.98384279,98.29959929
1573,Manhole covers,7.98384279,98.29959929
1574,Manhole covers,7.98384279,98.29959929
1575,Manhole covers,7.98384279,98.29959929
1576,Manhole covers,7.98384279,98.29959929
1579,Manhole covers,7.98384279,98.29959929
1584,Manhole covers,7.98384279,98.29959929
1590,Manhole covers,7.98374651,98.29953212
1594,Manhole covers,7.98374651,98.29953212
1595,Manhole covers,7.98374651,98.29953212
1596,Manhole covers,7.98374651,98.29953212
1597,Manhole covers,7.98374651,98.29953212
1598,Manhole covers,7.98374651,98.29953212
1599,Manhole covers,7.98374651,98.29953212
1600,Manhole covers,7.98374651,98.29953212
1601,Manhole covers,7.98374651,98.29953212
1602,Manhole covers,7.98374651,98.29953212
1603,Manhole covers,7.98374651,98.29953212
1604,Manhole covers,7.98374651,98.29953212
1605,Manhole covers,7.98374651,98.29953212
1606,Manhole covers,7.98374651,98.29953212
1607,Manhole covers,7.98374651,98.29953212
1608,Manhole covers,7.98374651,98.29953212
1609,Manhole covers,7.98374651,98.29953212
1610,Manhole covers,7.98374651,98.29953212
1634,Manhole covers,7.98364357,98.29946813
1640,Manhole covers,7.98364357,98.29946813
1641,Manhole covers,7.98364357,98.29946813
1642,Manhole covers,7.98364357,98.29946813
1643,Manhole covers,7.98364357,98.29946813
1644,Manhole covers,7.98364357,98.29946813
1645,Manhole covers,7.9835355,98.29940797
1647,Manhole covers,7.9835355,98.29940797
1668,Manhole covers,7.9835355,98.29940797
1703,Manhole covers,7.98341836,98.2993526
1718,Manhole covers,7.98329307,98.29930303
1722,Manhole covers,7.98329307,98.29930303
1723,Manhole covers,7.98329307,98.29930303
1724,Manhole covers,7.98329307,98.29930303
1732,Manhole covers,7.98329307,98.29930303
1735,Manhole covers,7.98316656,98.29925252
1736,Manhole covers,7.98316656,98.29925252
1737,Manhole covers,7.98316656,98.29925252
1738,Manhole covers,7.98316656,98.29925252
1739,Manhole covers,7.98316656,98.29925252
1740,Manhole covers,7.98316656,98.29925252
1741,Manhole covers,7.98316656,98.29925252
1743,Manhole covers,7.98316656,98.29925252
1744,Manhole covers,7.98316656,98.29925252
1745,Manhole covers,7.98316656,98.29925252
1747,Manhole covers,7.98316656,98.29925252
1749,Manhole covers,7.98316656,98.29925252
1750,Manhole covers,7.98316656,98.29925252
1751,Manhole covers,7.98316656,98.29925252
1752,Manhole covers,7.98316656,98.29925252
1753,Manhole covers,7.98316656,98.29925252
1754,Manhole covers,7.98316656,98.29925252
1755,Manhole covers,7.98316656,98.29925252
1756,Manhole covers,7.98316656,98.29925252
1757,Manhole covers,7.98316656,98.29925252
1758,Manhole covers,7.98316656,98.29925252
1759,Manhole covers,7.98316656,98.29925252
1760,Manhole covers,7.98316656,98.29925252
1761,Manhole covers,7.98316656,98.29925252
1762,Manhole covers,7.98316656,98.29925252
1763,Manhole covers,7.98316656,98.29925252
1764,Manhole covers,7.98303829,98.29921085
1765,Manhole covers,7.98303829,98.29921085
1806,Manhole covers,7.98291764,98.29916461
1807,Manhole covers,7.98291764,98.29916461
1808,Manhole covers,7.98291764,98.29916461
1809,Manhole covers,7.98291764,98.29916461
1814,Manhole covers,7.98291764,98.29916461
1815,Manhole covers,7.98291764,98.29916461
1816,Manhole covers,7.98291764,98.29916461
1817,Manhole covers,7.98291764,98.29916461
1818,Manhole covers,7.98291764,98.29916461
1819,Manhole covers,7.98291764,98.29916461
